Month,Price
2012-03,5.01
2012-04,5.02
2012-05,5.13
2012-06,6.07
2012-07,8.13
2012-08,11.49
2012-09,11.75
2012-10,12.03
2012-11,11.54
2012-12,13.44
2013-01,15.79
2013-02,26.06
2013-03,57.80
2013-04,125.32
2013-05,121.75
2013-06,109.60
2013-07,90.93
2013-08,108.18
2013-09,124.07
2013-10,153.31
2013-11,539.86
2013-12,795.04
2014-01,804.83
2014-02,666.35
2014-03,599.06
2014-04,451.12
2014-05,476.87
2014-06,611.53
2014-07,624.55
2014-08,548.23
2014-09,443.96
2014-10,363.90
2014-11,366.63
2014-12,343.31
2015-01,253.74
2015-02,230.35
2015-03,267.85
2015-04,235.43
2015-05,237.06
2015-06,236.50
2015-07,279.00
2015-08,253.19
2015-09,233.94
2015-10,266.63
2015-11,346.69
2015-12,422.88
2016-01,409.41
2016-02,398.79
2016-03,414.28
2016-04,431.96
2016-05,459.39
2016-06,622.83
2016-07,665.41
2016-08,580.25
2016-09,602.71
2016-10,632.86
2016-11,724.11
2016-12,815.55
2017-01,914.80
2017-02,1044.42
2017-03,1138.96
2017-04,1196.65
2017-05,1819.09
2017-06,2621.54
2017-07,2429.44
2017-08,3766.94
2017-09,4108.15
2017-10,5232.76
2017-11,7672.99
2017-12,14651.60
2018-01,13120.17
2018-02,9524.45
2018-03,9249.46
2018-04,7925.02
2018-05,8441.28
2018-06,6804.80
2018-07,7090.28
2018-08,6649.33
2018-09,6636.70
2018-10,6464.81
2018-11,5427.94
2018-12,3734.73
2019-01,3698.90
2019-02,3712.54
2019-03,3944.08
2019-04,5076.05
2019-05,7165.40
2019-06,9162.76
2019-07,10643.49
2019-08,10457.78
2019-09,9961.63
2019-10,8467.72
2019-11,8419.99
2019-12,7260.45
2020-01,8210.02
2020-02,9704.19
2020-03,6909.23
2020-04,7141.02
2020-05,9168.42
2020-06,9530.30
2020-07,9518.33
2020-08,11619.67
2020-09,10693.68
2020-10,11779.58
2020-11,16508.70
2020-12,22300.57
2021-01,34771.33
2021-02,45680.06
2021-03,53295.69
2021-04,57000.46
2021-05,46892.04
2021-06,35769.30
2021-07,34751.47
2021-08,45822.14
2021-09,45469.29
2021-10,57479.93
2021-11,60740.50
2021-12,49126.85
2022-01,40948.99
2022-02,40425.00
2022-03,41506.38
2022-04,41941.47
2022-05,31933.95
2022-06,24860.83
2022-07,21279.49
2022-08,22353.38
2022-09,19790.27
2022-10,19743.18
2022-11,17791.99
2022-12,16956.16
2023-01,20166.10
2023-02,23208.46
2023-03,25148.11
2023-04,28883.22
2023-05,27553.11
2023-06,27426.13
2023-07,30048.71
2023-08,28018.42
2023-09,26221.38
2023-10,29457.14
2023-11,36473.00
2023-12,42274.78
2024-01,42893.41
2024-02,48266.31
2024-03,67561.02
