Family,Month,Count,Sum (BTC),Sum (USD),Used Addresses,Known Addresses,Count,Sum (BTC),Sum (USD),Used Addresses,Known Addresses
Akira,2023-07,-,-,-,-,-,1,2.414070,75985.39,1,1
Akira,2023-08,-,-,-,-,-,2,3.954758,109655.12,1,2
Akira,2023-09,-,-,-,-,-,3,42.251627,1096850.51,2,4
Akira,2023-11,-,-,-,-,-,2,2.986000,106115.39,1,5
Black Basta,2022-10,-,-,-,-,-,2,15.613649,299117.62,1,1
Black Basta,2022-12,-,-,-,-,-,2,29.590000,509938.51,1,2
BlackCat,2024-03,-,-,-,-,-,8,1401.695345,88286897.03,1,1
Conti,2018-12,-,-,-,-,-,1,70.000000,227698.74,1,2
Conti,2019-05,-,-,-,-,-,2,48.000000,365195.26,1,3
Conti,2019-06,-,-,-,-,-,1,42.000869,495228.76,1,4
Conti,2019-08,-,-,-,-,-,2,120.000181,1247962.16,1,5
Conti,2019-09,-,-,-,-,-,7,136.101171,1184648.77,3,8
Conti,2019-10,-,-,-,-,-,11,936.004223,7735544.22,8,16
Conti,2019-11,-,-,-,-,-,6,533.003014,4429193.32,5,20
Conti,2019-12,-,-,-,-,-,9,675.602127,4896679.53,6,26
Conti,2020-01,-,-,-,-,-,12,699.005857,6000210.66,9,35
Conti,2020-03,-,-,-,-,-,7,1732.203892,13805769.23,7,42
Conti,2020-04,-,-,-,-,-,1,335.001000,2275871.01,1,43
Conti,2020-05,-,-,-,-,-,1,10.000000,94610.59,1,44
Conti,2020-07,-,-,-,-,-,2,61.733541,596496.33,2,46
Conti,2020-08,-,-,-,-,-,1,25.000771,287217.94,1,47
Conti,2020-09,-,-,-,-,-,11,2507.762469,26820117.71,11,58
Conti,2020-10,-,-,-,-,-,10,496.219392,6211939.12,8,66
Conti,2020-12,-,-,-,-,-,6,75.361444,1471169.92,3,68
Conti,2021-01,3,22.876640,794948.41,3,4,5,70.579286,2426876.72,5,73
Conti,2021-02,1,43.281445,2012686.45,1,5,2,52.517997,2438465.47,2,75
Conti,2021-03,3,97.301859,5368037.69,1,6,4,102.182856,5656864.92,2,77
Conti,2021-05,8,84.754215,4230519.57,7,14,9,88.319526,4433223.28,8,86
Conti,2021-07,-,-,-,-,-,1,36.068263,1195873.83,1,92
Conti,2021-08,5,23.011033,1068790.02,4,22,6,53.137965,2465329.79,5,96
Conti,2021-12,-,-,-,-,-,1,19.538199,1118167.76,1,99
Conti,2022-06,-,-,-,-,-,1,41.326165,855889.57,1,100
Cuba,2020-02,-,-,-,-,-,1,26.000971,228405.37,1,1
Cuba,2020-03,-,-,-,-,-,1,67.871000,457097.86,1,2
Cuba,2020-04,-,-,-,-,-,1,112.500000,798320.76,1,3
Cuba,2020-05,-,-,-,-,-,2,141.271500,1317507.99,2,5
Cuba,2020-06,-,-,-,-,-,1,117.760000,1162302.36,1,6
Cuba,2020-07,-,-,-,-,-,1,51.320000,496629.45,1,7
Cuba,2020-10,-,-,-,-,-,1,318.119363,4309411.09,1,8
Cuba,2020-12,-,-,-,-,-,1,37.793444,692419.15,1,9
Cuba,2021-04,-,-,-,-,-,2,388.192724,21475933.07,2,11
Cuba,2021-09,-,-,-,-,-,1,37.235489,1590573.25,1,12
Cuba,2021-10,-,-,-,-,-,2,73.517522,4228642.10,2,14
